Source,Target,Type,Id,Label,Weight
Cirsium_arvense,Leioproctus_boltoni,Undirected,39014,,1
Achillea_millefolium,Leioproctus_fulvescens,Undirected,39015,,1
Brachyglottis_sp,Leioproctus_fulvescens,Undirected,39016,,1
Cirsium_arvense,Leioproctus_fulvescens,Undirected,39017,,1
Crepis_capillaris,Leioproctus_fulvescens,Undirected,39018,,1
Hieracium_pillosela,Leioproctus_fulvescens,Undirected,39019,,1
Hieracium_praeltum,Leioproctus_fulvescens,Undirected,39020,,1
Hypochaeris_radicata,Leioproctus_fulvescens,Undirected,39021,,1
Leucanthemum_vulgare,Leioproctus_fulvescens,Undirected,39022,,1
Mycelis_muralis,Leioproctus_fulvescens,Undirected,39023,,1
Ozothamnus_leptophyllus,Leioproctus_fulvescens,Undirected,39024,,1
Verbenascum_thampus,Leioproctus_fulvescens,Undirected,39025,,1
Wahelenbergia_albuminata,Leioproctus_fulvescens,Undirected,39026,,1
Leptospermum_scoparium,Leioproctus_imitatus,Undirected,39027,,1
Ozothamnus_leptophyllus,Leioproctus_maritimus,Undirected,39028,,1
Achillea_millefolium,Leioproctus_monticola,Undirected,39029,,1
Hebe_brachysiphon,Leioproctus_monticola,Undirected,39030,,1
Achillea_millefolium,Leioproctus_waipounamu,Undirected,39031,,1
Cirsium_arvense,Leioproctus_waipounamu,Undirected,39032,,1
Ozothamnus_leptophyllus,Leioproctus_waipounamu,Undirected,39033,,1
Ozothamnus_leptophyllus,Lucilia_sericata,Undirected,39034,,1
Achillea_millefolium,Lycaena_feredayi,Undirected,39035,,1
Cirsium_arvense,Lycaena_feredayi,Undirected,39036,,1
Trifolium_pratense_,Lycaena_feredayi,Undirected,39037,,1
Achillea_millefolium,Lycaena_salustis,Undirected,39038,,1
Cirsium_arvense,Lycaena_salustis,Undirected,39039,,1
Hieracium_pillosela,Lycaena_salustis,Undirected,39040,,1
Leucanthemum_vulgare,Lycaena_salustis,Undirected,39041,,1
Ozothamnus_leptophyllus,Lycaena_salustis,Undirected,39042,,1
Trifolium_repens,Lycaena_salustis,Undirected,39043,,1
Achillea_millefolium,Melangyna_.Austrosyrphus._novaezelandiae,Undirected,39044,,1
Hypochaeris_radicata,Melangyna_.Austrosyrphus._novaezelandiae,Undirected,39045,,1
Ozothamnus_leptophyllus,Melangyna_.Austrosyrphus._novaezelandiae,Undirected,39046,,1
Ozothamnus_leptophyllus,Microlepdoptera,Undirected,39047,,1
Achillea_millefolium,Muscidae,Undirected,39048,,1
Leptospermum_scoparium,Muscidae,Undirected,39049,,1
Muhelenbeckia_complexa,Muscidae,Undirected,39050,,1
Ozothamnus_leptophyllus,Muscidae,Undirected,39051,,1
Corokia_cotonoaster,Pales_sp.,Undirected,39052,,1
Leptospermum_scoparium,Pales_sp.,Undirected,39053,,1
Achillea_millefolium,Peremptor_modicus,Undirected,39054,,1
Cirsium_arvense,Peremptor_modicus,Undirected,39055,,1
Corokia_cotonoaster,Peremptor_modicus,Undirected,39056,,1
Hebe_brachysiphon,Peremptor_modicus,Undirected,39057,,1
Leptospermum_scoparium,Peremptor_modicus,Undirected,39058,,1
Leucanthemum_vulgare,Peremptor_modicus,Undirected,39059,,1
Muhelenbeckia_complexa,Peremptor_modicus,Undirected,39060,,1
Ozothamnus_leptophyllus,Peremptor_modicus,Undirected,39061,,1
Hypochaeris_radicata,Platycheirus_sp1,Undirected,39062,,1
Leptospermum_scoparium,Pollenia_sp,Undirected,39063,,1
Ozothamnus_leptophyllus,Proscissio_albiceps,Undirected,39064,,1
Cirsium_arvense,Protohystricia_sp,Undirected,39065,,1
Leptospermum_scoparium,Protohystricia_sp,Undirected,39066,,1
Ozothamnus_leptophyllus,Psilopa,Undirected,39067,,1
Muhelenbeckia_complexa,Psilopa_mettalica,Undirected,39068,,1
Ozothamnus_leptophyllus,Psilopa_mettalica,Undirected,39069,,1
Cirsium_arvense,Pteris_rapae,Undirected,39070,,1
Leucanthemum_vulgare,Scaptia_adrel,Undirected,39071,,1
Cirsium_arvense,Scaptia_adrel_,Undirected,39072,,1
Leptospermum_scoparium,Scaptia_adrel_,Undirected,39073,,1
Wahelenbergia_albuminata,Scirtidae,Undirected,39074,,1
Ozothamnus_leptophyllus,Scirtidae_sp1,Undirected,39075,,1
Leptospermum_scoparium,Selenopalphus_aciphyllde,Undirected,39076,,1
Achillea_millefolium,Stratiomyidae,Undirected,39077,,1
Ozothamnus_leptophyllus,Stratiomyidae,Undirected,39078,,1
Ozothamnus_leptophyllus,Syrphidae_sp2,Undirected,39079,,1
Leucanthemum_vulgare,Tachinidae_sp12,Undirected,39080,,1
Cirsium_arvense,Tachinidae_sp15._Bessa,Undirected,39081,,1
Achillea_millefolium,Tachinidae_sp4_._Microphtalma,Undirected,39082,,1
Achillea_millefolium,Tachinidae_sp7,Undirected,39083,,1
Achillea_millefolium,Tachnidae,Undirected,39084,,1
Cirsium_arvense,Tachnidae,Undirected,39085,,1
Hieracium_pillosela,Tachnidae,Undirected,39086,,1
Leptospermum_scoparium,Tachnidae,Undirected,39087,,1
Muhelenbeckia_complexa,Tachnidae,Undirected,39088,,1
Ozothamnus_leptophyllus,Tachnidae,Undirected,39089,,1
Wahelenbergia_albuminata,Tachnidae,Undirected,39090,,1
Ozothamnus_leptophyllus,Tephritis_marginata,Undirected,39091,,1
Ozothamnus_leptophyllus,Trupanea_alboapicata,Undirected,39092,,1
